data\cghd_text\cghd_017854.png	4148
data\cghd_text\cghd_035180.png	100Ω
data\cghd_text\cghd_032192.png	1n
data\cghd_text\cghd_006700.png	10K
data\cghd_text\cghd_015720.png	35
data\cghd_text\cghd_021467.png	-5V
data\cghd_text\cghd_018877.png	10K
data\cghd_text\cghd_031683.png	+12V
data\cghd_text\cghd_021161.png	22K
data\cghd_text\cghd_005785.png	um3651
data\cghd_text\cghd_014900.png	15KΩ
data\cghd_text\cghd_015805.png	5
data\cghd_text\cghd_029068.png	0
data\cghd_text\cghd_028282.png	9
data\cghd_text\cghd_021477.png	4
data\cghd_text\cghd_013465.png	24
data\cghd_text\cghd_009103.png	+5V
data\cghd_text\cghd_012648.png	7
data\cghd_text\cghd_014044.png	5
data\cghd_text\cghd_010421.png	-
data\cghd_text\cghd_014954.png	3.1KΩ
data\cghd_text\cghd_002325.png	22K
data\cghd_text\cghd_024249.png	K1
data\cghd_text\cghd_017783.png	6
data\cghd_text\cghd_021046.png	+5V
data\cghd_text\cghd_012145.png	16
data\cghd_text\cghd_005608.png	330k
data\cghd_text\cghd_033474.png	7
data\cghd_text\cghd_031901.png	6V
data\cghd_text\cghd_017863.png	+5
data\cghd_text\cghd_030277.png	2
data\cghd_text\cghd_011412.png	3
data\cghd_text\cghd_022060.png	8
data\cghd_text\cghd_003009.png	6.8nF
data\cghd_text\cghd_018948.png	7
data\cghd_text\cghd_029761.png	14
data\cghd_text\cghd_031434.png	400V
data\cghd_text\cghd_009819.png	680K
data\cghd_text\cghd_011610.png	22K
data\cghd_text\cghd_032132.png	1K
data\cghd_text\cghd_021280.png	8
data\cghd_text\cghd_015432.png	3
data\cghd_text\cghd_010712.png	+5V
data\cghd_text\cghd_004207.png	10K
data\cghd_text\cghd_034389.png	100Ω
data\cghd_text\cghd_010743.png	50K
data\cghd_text\cghd_022778.png	3.3u
data\cghd_text\cghd_001120.png	7
data\cghd_text\cghd_031176.png	47K
data\cghd_text\cghd_012575.png	3
data\cghd_text\cghd_018845.png	120K
data\cghd_text\cghd_025985.png	1Ω
data\cghd_text\cghd_022881.png	100k
data\cghd_text\cghd_015558.png	10
data\cghd_text\cghd_016706.png	38
data\cghd_text\cghd_015490.png	10K
data\cghd_text\cghd_022814.png	4069
data\cghd_text\cghd_019259.png	1
data\cghd_text\cghd_025113.png	3
data\cghd_text\cghd_002335.png	10Ω
data\cghd_text\cghd_027096.png	12
data\cghd_text\cghd_011029.png	12
data\cghd_text\cghd_001238.png	6
data\cghd_text\cghd_033703.png	10KΩ
data\cghd_text\cghd_008344.png	11
data\cghd_text\cghd_000675.png	10KΩ
data\cghd_text\cghd_006236.png	-
data\cghd_text\cghd_023750.png	18k
data\cghd_text\cghd_025690.png	HV1
data\cghd_text\cghd_024550.png	6
data\cghd_text\cghd_034644.png	10
data\cghd_text\cghd_011553.png	18K
data\cghd_text\cghd_012906.png	1
data\cghd_text\cghd_000567.png	1nF
data\cghd_text\cghd_014953.png	0.1uF
data\cghd_text\cghd_029688.png	H1
data\cghd_text\cghd_016144.png	10K
data\cghd_text\cghd_027753.png	9
data\cghd_text\cghd_013831.png	6
data\cghd_text\cghd_019868.png	10K
data\cghd_text\cghd_000201.png	3.3M
data\cghd_text\cghd_033151.png	100K
data\cghd_text\cghd_017495.png	14
data\cghd_text\cghd_008913.png	15
data\cghd_text\cghd_026230.png	3.6K
data\cghd_text\cghd_001569.png	4
data\cghd_text\cghd_032154.png	1k
data\cghd_text\cghd_010658.png	1KΩ
data\cghd_text\cghd_005128.png	47n
data\cghd_text\cghd_026849.png	9V
data\cghd_text\cghd_015195.png	1
data\cghd_text\cghd_029926.png	H1
data\cghd_text\cghd_019005.png	10K
data\cghd_text\cghd_018081.png	5
data\cghd_text\cghd_006705.png	1
data\cghd_text\cghd_026965.png	10nF
data\cghd_text\cghd_015849.png	7
data\cghd_text\cghd_001148.png	330
data\cghd_text\cghd_030067.png	5
data\cghd_text\cghd_009740.png	M1
data\cghd_text\cghd_006404.png	A2
data\cghd_text\cghd_013497.png	1
data\cghd_text\cghd_017476.png	+12
data\cghd_text\cghd_034606.png	12V
data\cghd_text\cghd_018986.png	7805
data\cghd_text\cghd_021008.png	27K
data\cghd_text\cghd_009921.png	8
data\cghd_text\cghd_020155.png	100uF
data\cghd_text\cghd_033754.png	1KΩ
data\cghd_text\cghd_010198.png	7
data\cghd_text\cghd_016313.png	35
data\cghd_text\cghd_000196.png	0.5Ω
data\cghd_text\cghd_008734.png	7
data\cghd_text\cghd_000823.png	100Ω
data\cghd_text\cghd_025874.png	10KΩ
data\cghd_text\cghd_031550.png	0.047
data\cghd_text\cghd_001625.png	A
data\cghd_text\cghd_026681.png	1Ω
data\cghd_text\cghd_033193.png	8
data\cghd_text\cghd_033278.png	6V
data\cghd_text\cghd_018097.png	11
data\cghd_text\cghd_024406.png	2
data\cghd_text\cghd_017532.png	+5
data\cghd_text\cghd_000845.png	1Ω
data\cghd_text\cghd_034937.png	15
data\cghd_text\cghd_033570.png	6
data\cghd_text\cghd_006868.png	470
data\cghd_text\cghd_031673.png	12K
data\cghd_text\cghd_031435.png	2.2K
data\cghd_text\cghd_012308.png	12
data\cghd_text\cghd_015703.png	33pF
data\cghd_text\cghd_029743.png	6
data\cghd_text\cghd_003039.png	1nF
data\cghd_text\cghd_035137.png	250V
data\cghd_text\cghd_033419.png	1
data\cghd_text\cghd_008126.png	10K
data\cghd_text\cghd_022586.png	100kΩ
data\cghd_text\cghd_006114.png	100V
data\cghd_text\cghd_014922.png	470pF
data\cghd_text\cghd_035416.png	+
data\cghd_text\cghd_010031.png	-
data\cghd_text\cghd_015830.png	11
data\cghd_text\cghd_025717.png	A5
data\cghd_text\cghd_030379.png	2
data\cghd_text\cghd_018418.png	7
data\cghd_text\cghd_007776.png	5K6
data\cghd_text\cghd_022022.png	28
data\cghd_text\cghd_013201.png	17
data\cghd_text\cghd_015355.png	8
data\cghd_text\cghd_002362.png	10Ω
data\cghd_text\cghd_032822.png	2
data\cghd_text\cghd_001618.png	A
data\cghd_text\cghd_015869.png	23
data\cghd_text\cghd_016926.png	12
data\cghd_text\cghd_000974.png	V
data\cghd_text\cghd_017215.png	17
data\cghd_text\cghd_003935.png	1K
data\cghd_text\cghd_023548.png	47kΩ
data\cghd_text\cghd_009185.png	1K
data\cghd_text\cghd_035129.png	10K
data\cghd_text\cghd_033542.png	100kΩ
data\cghd_text\cghd_017872.png	2
data\cghd_text\cghd_004458.png	1
data\cghd_text\cghd_033848.png	A
data\cghd_text\cghd_034790.png	8.2K
data\cghd_text\cghd_026777.png	400V
data\cghd_text\cghd_001086.png	100nF
data\cghd_text\cghd_013548.png	31
data\cghd_text\cghd_013915.png	31
data\cghd_text\cghd_000119.png	470K
data\cghd_text\cghd_014660.png	1K
data\cghd_text\cghd_024735.png	3
data\cghd_text\cghd_019336.png	33p
data\cghd_text\cghd_034076.png	V
data\cghd_text\cghd_000570.png	20KΩ
data\cghd_text\cghd_030024.png	A2
data\cghd_text\cghd_014732.png	7
data\cghd_text\cghd_002791.png	147KΩ
data\cghd_text\cghd_033528.png	3
data\cghd_text\cghd_009500.png	2
data\cghd_text\cghd_026837.png	5.6
data\cghd_text\cghd_002733.png	100n
data\cghd_text\cghd_027187.png	3
data\cghd_text\cghd_031224.png	4.7M
data\cghd_text\cghd_002183.png	7
data\cghd_text\cghd_006486.png	V-
data\cghd_text\cghd_009196.png	3V3
data\cghd_text\cghd_016467.png	31
data\cghd_text\cghd_019554.png	8V2
data\cghd_text\cghd_032932.png	0V
data\cghd_text\cghd_008399.png	25
data\cghd_text\cghd_018614.png	1K
data\cghd_text\cghd_026127.png	2
data\cghd_text\cghd_025237.png	0.75
data\cghd_text\cghd_000204.png	39K
data\cghd_text\cghd_009646.png	1M
data\cghd_text\cghd_009699.png	7815
data\cghd_text\cghd_001544.png	4
data\cghd_text\cghd_027841.png	7
data\cghd_text\cghd_011118.png	47KΩ
data\cghd_text\cghd_015293.png	+3.3V
data\cghd_text\cghd_007780.png	100n
data\cghd_text\cghd_035291.png	5
data\cghd_text\cghd_030132.png	2
data\cghd_text\cghd_012405.png	1MΩ
data\cghd_text\cghd_029875.png	A2
data\cghd_text\cghd_003644.png	10K
data\cghd_text\cghd_031090.png	V3
data\cghd_text\cghd_010940.png	9
data\cghd_text\cghd_007261.png	270K
data\cghd_text\cghd_021075.png	7
data\cghd_text\cghd_034774.png	A
data\cghd_text\cghd_019780.png	10Ω
data\cghd_text\cghd_009578.png	-
data\cghd_text\cghd_001065.png	100nF
data\cghd_text\cghd_024733.png	2K
data\cghd_text\cghd_014242.png	4
data\cghd_text\cghd_025256.png	100K
data\cghd_text\cghd_004998.png	10K
data\cghd_text\cghd_028315.png	1
data\cghd_text\cghd_015263.png	10K
data\cghd_text\cghd_009761.png	-
data\cghd_text\cghd_014430.png	14
data\cghd_text\cghd_012631.png	+2.5V
data\cghd_text\cghd_023795.png	27k
data\cghd_text\cghd_023530.png	10kΩ
data\cghd_text\cghd_014410.png	39
data\cghd_text\cghd_012809.png	1
data\cghd_text\cghd_008981.png	5
data\cghd_text\cghd_010747.png	20
data\cghd_text\cghd_017939.png	4148
data\cghd_text\cghd_008043.png	12K
data\cghd_text\cghd_015878.png	14
data\cghd_text\cghd_032618.png	22kΩ
data\cghd_text\cghd_025173.png	4
data\cghd_text\cghd_024216.png	0V
data\cghd_text\cghd_009585.png	+5V
data\cghd_text\cghd_005744.png	680
data\cghd_text\cghd_005241.png	1K
data\cghd_text\cghd_011287.png	4
data\cghd_text\cghd_007443.png	2K
data\cghd_text\cghd_025557.png	-
data\cghd_text\cghd_035417.png	+
data\cghd_text\cghd_009511.png	2
data\cghd_text\cghd_002836.png	33Ω
data\cghd_text\cghd_017092.png	5
data\cghd_text\cghd_032091.png	0V
data\cghd_text\cghd_029921.png	F1
data\cghd_text\cghd_034797.png	-25V
data\cghd_text\cghd_014190.png	1u
data\cghd_text\cghd_032041.png	47k
data\cghd_text\cghd_030198.png	24
data\cghd_text\cghd_029103.png	12V
data\cghd_text\cghd_000354.png	10K
data\cghd_text\cghd_016835.png	A14
data\cghd_text\cghd_005193.png	1n
data\cghd_text\cghd_003766.png	6
data\cghd_text\cghd_025611.png	+9V
data\cghd_text\cghd_001901.png	7
data\cghd_text\cghd_018222.png	+5
data\cghd_text\cghd_028510.png	100nF
data\cghd_text\cghd_009685.png	+
data\cghd_text\cghd_028633.png	+
data\cghd_text\cghd_023924.png	100nF
data\cghd_text\cghd_035054.png	4
data\cghd_text\cghd_016436.png	4
data\cghd_text\cghd_012306.png	2
data\cghd_text\cghd_003416.png	470u
data\cghd_text\cghd_018101.png	7
data\cghd_text\cghd_007972.png	761
data\cghd_text\cghd_026221.png	+
data\cghd_text\cghd_026913.png	6
data\cghd_text\cghd_025652.png	A2
data\cghd_text\cghd_003506.png	100u
data\cghd_text\cghd_008034.png	27Ω
data\cghd_text\cghd_028363.png	8
data\cghd_text\cghd_013003.png	1
data\cghd_text\cghd_012553.png	+5V
data\cghd_text\cghd_011123.png	8
data\cghd_text\cghd_002038.png	100nF
data\cghd_text\cghd_009892.png	6
data\cghd_text\cghd_013508.png	12
data\cghd_text\cghd_024944.png	2
data\cghd_text\cghd_009027.png	28
data\cghd_text\cghd_027239.png	4
data\cghd_text\cghd_028410.png	50K
data\cghd_text\cghd_018034.png	10uF
data\cghd_text\cghd_028887.png	100Ω
data\cghd_text\cghd_005297.png	+
data\cghd_text\cghd_028627.png	+5V
data\cghd_text\cghd_020379.png	6
data\cghd_text\cghd_013480.png	1
data\cghd_text\cghd_019472.png	22uF
data\cghd_text\cghd_006753.png	8
data\cghd_text\cghd_024958.png	1KΩ
data\cghd_text\cghd_012968.png	n0
data\cghd_text\cghd_033723.png	5
data\cghd_text\cghd_014995.png	200KΩ
data\cghd_text\cghd_018247.png	2
data\cghd_text\cghd_030346.png	2
data\cghd_text\cghd_032224.png	100Ω
data\cghd_text\cghd_031607.png	220K
data\cghd_text\cghd_034913.png	1
data\cghd_text\cghd_005621.png	330k
data\cghd_text\cghd_000076.png	5V
data\cghd_text\cghd_016300.png	11
data\cghd_text\cghd_024319.png	15n
data\cghd_text\cghd_006911.png	9
data\cghd_text\cghd_010493.png	100
data\cghd_text\cghd_031380.png	7812
data\cghd_text\cghd_010917.png	5
data\cghd_text\cghd_010697.png	22
data\cghd_text\cghd_020515.png	03
data\cghd_text\cghd_007725.png	8
data\cghd_text\cghd_035052.png	6
data\cghd_text\cghd_009486.png	2
data\cghd_text\cghd_015763.png	30
data\cghd_text\cghd_009631.png	10K
data\cghd_text\cghd_034065.png	10K
data\cghd_text\cghd_016368.png	2
data\cghd_text\cghd_021551.png	100K
data\cghd_text\cghd_021903.png	10
data\cghd_text\cghd_032316.png	6
data\cghd_text\cghd_001895.png	10M
data\cghd_text\cghd_018110.png	100nF
data\cghd_text\cghd_016057.png	36
data\cghd_text\cghd_011500.png	47kΩ
data\cghd_text\cghd_016969.png	7
data\cghd_text\cghd_021120.png	1
data\cghd_text\cghd_013018.png	3
data\cghd_text\cghd_013466.png	25
data\cghd_text\cghd_031840.png	8
data\cghd_text\cghd_035086.png	10
data\cghd_text\cghd_031316.png	10K
data\cghd_text\cghd_030323.png	2
data\cghd_text\cghd_020477.png	100K
data\cghd_text\cghd_013164.png	12
data\cghd_text\cghd_024498.png	V
data\cghd_text\cghd_030081.png	H1
data\cghd_text\cghd_009548.png	100k
data\cghd_text\cghd_020458.png	1
data\cghd_text\cghd_013416.png	31
data\cghd_text\cghd_012951.png	n2
data\cghd_text\cghd_011416.png	6
data\cghd_text\cghd_022540.png	8.2kΩ
data\cghd_text\cghd_003424.png	470u
data\cghd_text\cghd_004019.png	18
data\cghd_text\cghd_006569.png	1
data\cghd_text\cghd_015519.png	20K
data\cghd_text\cghd_029099.png	4
data\cghd_text\cghd_022809.png	1u
data\cghd_text\cghd_015483.png	7
data\cghd_text\cghd_007206.png	33p
data\cghd_text\cghd_024751.png	4
data\cghd_text\cghd_019171.png	1
data\cghd_text\cghd_033034.png	8
data\cghd_text\cghd_022451.png	-6
data\cghd_text\cghd_026039.png	A2
data\cghd_text\cghd_016085.png	3
data\cghd_text\cghd_015442.png	5
data\cghd_text\cghd_019575.png	1n
data\cghd_text\cghd_006561.png	V+
data\cghd_text\cghd_027489.png	33
data\cghd_text\cghd_007553.png	A3
data\cghd_text\cghd_003476.png	12.0
data\cghd_text\cghd_004904.png	1K
data\cghd_text\cghd_020925.png	100K
data\cghd_text\cghd_000999.png	50V
data\cghd_text\cghd_027245.png	3
data\cghd_text\cghd_031867.png	0723
data\cghd_text\cghd_029239.png	4Ω
data\cghd_text\cghd_002015.png	1K
data\cghd_text\cghd_008229.png	21
data\cghd_text\cghd_028923.png	-
data\cghd_text\cghd_015058.png	3
data\cghd_text\cghd_022315.png	560
data\cghd_text\cghd_008701.png	1
data\cghd_text\cghd_029517.png	1K
data\cghd_text\cghd_032905.png	7
data\cghd_text\cghd_019913.png	499Ω
data\cghd_text\cghd_033265.png	330Ω
data\cghd_text\cghd_014096.png	11
data\cghd_text\cghd_029740.png	V1
data\cghd_text\cghd_024125.png	100nF
data\cghd_text\cghd_009955.png	100n
data\cghd_text\cghd_025571.png	+3.7V
data\cghd_text\cghd_026640.png	0Ω
data\cghd_text\cghd_016434.png	3
data\cghd_text\cghd_008726.png	+5V
data\cghd_text\cghd_021149.png	5
data\cghd_text\cghd_025077.png	2
data\cghd_text\cghd_022999.png	330K
data\cghd_text\cghd_013353.png	1
data\cghd_text\cghd_001996.png	-
data\cghd_text\cghd_001991.png	1000
data\cghd_text\cghd_000327.png	12K
data\cghd_text\cghd_025650.png	HV3
data\cghd_text\cghd_031313.png	400V
data\cghd_text\cghd_003197.png	1-H-A
data\cghd_text\cghd_016421.png	10
data\cghd_text\cghd_000194.png	6V
data\cghd_text\cghd_007613.png	4
data\cghd_text\cghd_029141.png	4
data\cghd_text\cghd_030417.png	2
data\cghd_text\cghd_008267.png	22
data\cghd_text\cghd_019406.png	10A
data\cghd_text\cghd_022594.png	150nF
data\cghd_text\cghd_028014.png	+5V
data\cghd_text\cghd_003621.png	7
data\cghd_text\cghd_003403.png	47000u
data\cghd_text\cghd_027243.png	10KΩ
data\cghd_text\cghd_006966.png	330K
data\cghd_text\cghd_015122.png	3
data\cghd_text\cghd_025879.png	3.3V
data\cghd_text\cghd_006068.png	18K
data\cghd_text\cghd_017273.png	8
data\cghd_text\cghd_007667.png	22K
data\cghd_text\cghd_007295.png	1nF
data\cghd_text\cghd_001726.png	0
data\cghd_text\cghd_021707.png	5V
data\cghd_text\cghd_032652.png	1
data\cghd_text\cghd_017042.png	5
data\cghd_text\cghd_025661.png	A0
data\cghd_text\cghd_011556.png	18K
data\cghd_text\cghd_019248.png	18
data\cghd_text\cghd_035450.png	+9V
data\cghd_text\cghd_008055.png	10K
data\cghd_text\cghd_004026.png	16
data\cghd_text\cghd_008990.png	14
data\cghd_text\cghd_022085.png	38
data\cghd_text\cghd_033362.png	220K
data\cghd_text\cghd_007117.png	2
data\cghd_text\cghd_033559.png	100kΩ
data\cghd_text\cghd_024452.png	15n
data\cghd_text\cghd_008653.png	23
data\cghd_text\cghd_010046.png	19K
data\cghd_text\cghd_025318.png	10V
data\cghd_text\cghd_011612.png	1K
data\cghd_text\cghd_024590.png	V
data\cghd_text\cghd_027631.png	6
data\cghd_text\cghd_017437.png	12
data\cghd_text\cghd_026299.png	220K
data\cghd_text\cghd_013694.png	11
data\cghd_text\cghd_008570.png	22
data\cghd_text\cghd_017631.png	1K2
data\cghd_text\cghd_034857.png	220K
data\cghd_text\cghd_009241.png	A3
data\cghd_text\cghd_018486.png	6
data\cghd_text\cghd_028196.png	100u
data\cghd_text\cghd_001620.png	A
data\cghd_text\cghd_005385.png	-
data\cghd_text\cghd_035096.png	12
data\cghd_text\cghd_008995.png	4
data\cghd_text\cghd_019148.png	19
data\cghd_text\cghd_033181.png	10K
data\cghd_text\cghd_022367.png	001
data\cghd_text\cghd_007571.png	0.47
data\cghd_text\cghd_018497.png	2
data\cghd_text\cghd_013868.png	8
data\cghd_text\cghd_016248.png	0
data\cghd_text\cghd_030038.png	230V
data\cghd_text\cghd_008664.png	1
data\cghd_text\cghd_004902.png	1
data\cghd_text\cghd_030139.png	K1
data\cghd_text\cghd_020498.png	2
data\cghd_text\cghd_020408.png	4
data\cghd_text\cghd_027510.png	+9V
data\cghd_text\cghd_023890.png	80Ω
data\cghd_text\cghd_019274.png	10K
data\cghd_text\cghd_027838.png	1K
data\cghd_text\cghd_009342.png	+40V
data\cghd_text\cghd_023480.png	4.7kΩ
data\cghd_text\cghd_001821.png	680n
data\cghd_text\cghd_008492.png	5
data\cghd_text\cghd_011574.png	18K
data\cghd_text\cghd_008518.png	6
data\cghd_text\cghd_024366.png	15n
data\cghd_text\cghd_016067.png	26
data\cghd_text\cghd_032510.png	100kΩ
data\cghd_text\cghd_026708.png	470K
data\cghd_text\cghd_002796.png	1kV
data\cghd_text\cghd_030923.png	24
data\cghd_text\cghd_026233.png	3.6K
data\cghd_text\cghd_007500.png	1K
data\cghd_text\cghd_015775.png	16
data\cghd_text\cghd_026070.png	A3
data\cghd_text\cghd_030541.png	2
data\cghd_text\cghd_004537.png	220
data\cghd_text\cghd_030830.png	2
data\cghd_text\cghd_028614.png	270K
data\cghd_text\cghd_033229.png	6
data\cghd_text\cghd_004710.png	38V
data\cghd_text\cghd_004759.png	10K
data\cghd_text\cghd_015960.png	2
data\cghd_text\cghd_006710.png	555
data\cghd_text\cghd_008852.png	27
data\cghd_text\cghd_001392.png	270Ω
data\cghd_text\cghd_016007.png	28
data\cghd_text\cghd_002682.png	470k
data\cghd_text\cghd_021536.png	+5V
data\cghd_text\cghd_003833.png	6
data\cghd_text\cghd_033167.png	100K
data\cghd_text\cghd_023055.png	24
data\cghd_text\cghd_034215.png	2
data\cghd_text\cghd_007859.png	4K7
data\cghd_text\cghd_019952.png	02
data\cghd_text\cghd_008720.png	1
data\cghd_text\cghd_024253.png	100KΩ
data\cghd_text\cghd_009797.png	1
data\cghd_text\cghd_000605.png	1KΩ
data\cghd_text\cghd_009911.png	5V
data\cghd_text\cghd_034674.png	8Ω
data\cghd_text\cghd_028281.png	5
data\cghd_text\cghd_004292.png	Hz
data\cghd_text\cghd_017432.png	7
data\cghd_text\cghd_006161.png	2
data\cghd_text\cghd_017794.png	2K2
data\cghd_text\cghd_002237.png	+5V
data\cghd_text\cghd_026905.png	2
data\cghd_text\cghd_003439.png	220.0
data\cghd_text\cghd_009669.png	+
data\cghd_text\cghd_005085.png	2.2K
data\cghd_text\cghd_015549.png	1
data\cghd_text\cghd_026923.png	470
data\cghd_text\cghd_019781.png	A1
data\cghd_text\cghd_021407.png	3
data\cghd_text\cghd_010530.png	400
data\cghd_text\cghd_023495.png	47kΩ
data\cghd_text\cghd_035080.png	6
data\cghd_text\cghd_012992.png	14
data\cghd_text\cghd_032252.png	100Ω
data\cghd_text\cghd_027779.png	5
data\cghd_text\cghd_021067.png	2
data\cghd_text\cghd_024892.png	15n
data\cghd_text\cghd_030767.png	5
data\cghd_text\cghd_015453.png	2.2
data\cghd_text\cghd_013526.png	3
data\cghd_text\cghd_033968.png	1
data\cghd_text\cghd_024296.png	+12V
data\cghd_text\cghd_001663.png	1
data\cghd_text\cghd_009826.png	7
data\cghd_text\cghd_018981.png	5
data\cghd_text\cghd_034998.png	5
data\cghd_text\cghd_028075.png	2
data\cghd_text\cghd_035104.png	10K
data\cghd_text\cghd_017018.png	8
data\cghd_text\cghd_011205.png	3
data\cghd_text\cghd_024938.png	V
data\cghd_text\cghd_005009.png	2.2n
data\cghd_text\cghd_011333.png	1
data\cghd_text\cghd_019985.png	2n2
data\cghd_text\cghd_026485.png	47k
data\cghd_text\cghd_017866.png	100nF
data\cghd_text\cghd_014248.png	13
data\cghd_text\cghd_005176.png	1n
data\cghd_text\cghd_024727.png	15n
data\cghd_text\cghd_007123.png	1K
data\cghd_text\cghd_009090.png	15
data\cghd_text\cghd_030788.png	M1
data\cghd_text\cghd_000157.png	4.7K
data\cghd_text\cghd_015294.png	8
data\cghd_text\cghd_019164.png	10K
data\cghd_text\cghd_008901.png	1K
data\cghd_text\cghd_012670.png	9
data\cghd_text\cghd_002852.png	10kΩ
data\cghd_text\cghd_027210.png	12
data\cghd_text\cghd_001119.png	6
data\cghd_text\cghd_015261.png	1
data\cghd_text\cghd_028839.png	3
data\cghd_text\cghd_029410.png	12K
data\cghd_text\cghd_012259.png	7
data\cghd_text\cghd_026415.png	7
data\cghd_text\cghd_019431.png	4
data\cghd_text\cghd_033068.png	6
data\cghd_text\cghd_011311.png	7
data\cghd_text\cghd_031463.png	4756
data\cghd_text\cghd_033612.png	100n
data\cghd_text\cghd_010896.png	11
data\cghd_text\cghd_001124.png	6
data\cghd_text\cghd_011318.png	4
data\cghd_text\cghd_019399.png	10
data\cghd_text\cghd_003567.png	15
data\cghd_text\cghd_028917.png	82mA
data\cghd_text\cghd_022031.png	1
data\cghd_text\cghd_032740.png	2
data\cghd_text\cghd_019412.png	16V
data\cghd_text\cghd_000496.png	80
data\cghd_text\cghd_008754.png	4
data\cghd_text\cghd_023648.png	10K
data\cghd_text\cghd_008000.png	24K
data\cghd_text\cghd_010312.png	M7
data\cghd_text\cghd_010067.png	+
data\cghd_text\cghd_000600.png	1KΩ
data\cghd_text\cghd_024680.png	K4
data\cghd_text\cghd_030402.png	A2
data\cghd_text\cghd_017301.png	12
data\cghd_text\cghd_029818.png	A2
data\cghd_text\cghd_007527.png	4
data\cghd_text\cghd_024029.png	K1.3
data\cghd_text\cghd_005839.png	2
data\cghd_text\cghd_033297.png	7
data\cghd_text\cghd_016327.png	4
data\cghd_text\cghd_001837.png	82Ω
data\cghd_text\cghd_021295.png	5
data\cghd_text\cghd_008665.png	2
data\cghd_text\cghd_016709.png	35
data\cghd_text\cghd_014885.png	10uF
data\cghd_text\cghd_023071.png	256
data\cghd_text\cghd_018095.png	13
data\cghd_text\cghd_029254.png	8Ω
data\cghd_text\cghd_027825.png	9V+
data\cghd_text\cghd_003773.png	1M
data\cghd_text\cghd_029687.png	A1
data\cghd_text\cghd_013740.png	1u
data\cghd_text\cghd_009227.png	24
data\cghd_text\cghd_023135.png	33k
data\cghd_text\cghd_009429.png	V+
data\cghd_text\cghd_022562.png	500kΩ
data\cghd_text\cghd_001519.png	9V
data\cghd_text\cghd_026871.png	9V
data\cghd_text\cghd_032560.png	8
data\cghd_text\cghd_014251.png	7
data\cghd_text\cghd_026185.png	330uF
data\cghd_text\cghd_000855.png	100Ω
data\cghd_text\cghd_032315.png	5
data\cghd_text\cghd_020362.png	7
data\cghd_text\cghd_033664.png	5
data\cghd_text\cghd_032972.png	220Ω
data\cghd_text\cghd_012542.png	+2.5V
data\cghd_text\cghd_017622.png	10
data\cghd_text\cghd_025549.png	A
data\cghd_text\cghd_025978.png	0Ω
data\cghd_text\cghd_025400.png	11
data\cghd_text\cghd_028002.png	4
data\cghd_text\cghd_011324.png	1kΩ
data\cghd_text\cghd_029724.png	1
data\cghd_text\cghd_025299.png	1
data\cghd_text\cghd_012026.png	3.3KΩ
data\cghd_text\cghd_005673.png	10K
data\cghd_text\cghd_028296.png	3
data\cghd_text\cghd_017376.png	1
data\cghd_text\cghd_024858.png	120
data\cghd_text\cghd_017823.png	9
data\cghd_text\cghd_025756.png	3.3V
data\cghd_text\cghd_016841.png	A8
data\cghd_text\cghd_034573.png	9
data\cghd_text\cghd_010358.png	-
data\cghd_text\cghd_021452.png	1
data\cghd_text\cghd_005677.png	1
data\cghd_text\cghd_019168.png	2
data\cghd_text\cghd_025658.png	HV4
data\cghd_text\cghd_008782.png	9
data\cghd_text\cghd_033979.png	10K
data\cghd_text\cghd_015858.png	1
data\cghd_text\cghd_028047.png	10K
data\cghd_text\cghd_008104.png	63V
data\cghd_text\cghd_009696.png	1KΩ
data\cghd_text\cghd_002345.png	5Ω
data\cghd_text\cghd_003880.png	2
data\cghd_text\cghd_027958.png	7400
data\cghd_text\cghd_025942.png	4
data\cghd_text\cghd_024160.png	100nF
data\cghd_text\cghd_032847.png	2
data\cghd_text\cghd_032623.png	220Ω
data\cghd_text\cghd_006461.png	V+
data\cghd_text\cghd_031726.png	+12V
data\cghd_text\cghd_017724.png	15
data\cghd_text\cghd_033537.png	3
data\cghd_text\cghd_033258.png	5
data\cghd_text\cghd_012829.png	1
data\cghd_text\cghd_010891.png	1
data\cghd_text\cghd_030261.png	K1
data\cghd_text\cghd_005456.png	12K
data\cghd_text\cghd_026588.png	2.2kΩ
data\cghd_text\cghd_017238.png	470
data\cghd_text\cghd_001340.png	5
data\cghd_text\cghd_013283.png	A1
data\cghd_text\cghd_020658.png	10uF
data\cghd_text\cghd_005120.png	3
data\cghd_text\cghd_003690.png	100u
data\cghd_text\cghd_008755.png	5
data\cghd_text\cghd_033388.png	1
data\cghd_text\cghd_001579.png	3
data\cghd_text\cghd_002797.png	300Ω
data\cghd_text\cghd_021891.png	24
data\cghd_text\cghd_023846.png	12k
data\cghd_text\cghd_028420.png	280k
data\cghd_text\cghd_027962.png	7
data\cghd_text\cghd_005335.png	12K
data\cghd_text\cghd_025994.png	270mH
data\cghd_text\cghd_008866.png	+5V
data\cghd_text\cghd_018579.png	0.1uF
data\cghd_text\cghd_023973.png	0V
data\cghd_text\cghd_015532.png	7
data\cghd_text\cghd_005034.png	7
data\cghd_text\cghd_022772.png	100u
data\cghd_text\cghd_012511.png	+2.5V
data\cghd_text\cghd_014699.png	19
data\cghd_text\cghd_033647.png	100KΩ
data\cghd_text\cghd_031847.png	5
data\cghd_text\cghd_019529.png	7
data\cghd_text\cghd_025415.png	10
